country,count
united states,223969628
india,91732357
brazil,60975592
united kingdom,37856499
france,25100460
canada,22962402
mexico,21660407
indonesia,18053761
italy,16824421
spain,15700717
australia,14290830
germany,13897331
colombia,12346452
turkey,11756331
argentina,11477648
china,11283721
philippines,10275541
netherlands,9902021
south africa,9368872
pakistan,8016509
peru,7699464
chile,7304789
egypt,6440566
united arab emirates,6397793
saudi arabia,6311940
malaysia,6149092
nigeria,5912984
russia,5014627
poland,4868341
sweden,4409706
vietnam,4337052
belgium,4304736
portugal,4113847
bangladesh,3818027
ecuador,3715696
switzerland,3706201
venezuela,3590481
iran,3328507
singapore,3254301
morocco,3078002
romania,3068708
denmark,2982571
kenya,2894111
ukraine,2687426
thailand,2657318
japan,2607243
ireland,2580151
new zealand,2547730
south korea,2451807
algeria,2263438
norway,2180157
taiwan,2138010
hong kong s.a.r.,2127634
israel,2051674
czechia,1879985
austria,1791733
greece,1697952
ghana,1664435
sri lanka,1417569
dominican republic,1413919
finland,1382492
tunisia,1312452
guatemala,1255438
bolivia,1217317
costa rica,1207409
hungary,1158674
uruguay,1098236
jordan,1058816
qatar,1053969
serbia,1039923
nepal,986578
iraq,977700
panama,973411
puerto rico,908626
bulgaria,858920
lebanon,832696
tanzania,802031
españa,775470
el salvador,772300
senegal,770853
uganda,762789
paraguay,735648
kuwait,729979
croatia,676936
cameroon,674295
honduras,669886
oman,648841
kazakhstan,628091
slovakia,617768
ethiopia,615786
angola,611012
jamaica,609931
zimbabwe,583920
myanmar,547316
nicaragua,525435
côte d’ivoire,520403
lithuania,505841
zambia,500365
azerbaijan,494444
belarus,480882
trinidad and tobago,469437
bahrain,415647
georgia,410271
mozambique,399062
slovenia,374354
cambodia,374070
ivory coast,358142
cyprus,354703
albania,353115
latvia,343392
syria,341394
mauritius,316430
sudan,311382
democratic republic of congo,295329
luxembourg,292169
afghanistan,283879
bosnia and herzegovina,275524
botswana,272393
papua new guinea,264940
estonia,255328
armenia,251694
namibia,250499
malta,250021
cuba,246700
palestine,244628
libya,235013
uzbekistan,232618
rwanda,232580
benin,232077
mali,231503
burkina faso,230621
moldova,224020
yemen,220260
madagascar,218809
haiti,203225
iceland,201151
malawi,191401
hong kong sar,166470
guinea,165496
mongolia,163937
togo,163239
fiji,159559
the bahamas,155166
somalia,143080
gabon,137913
barbados,126328
maldives,113966
congo,109274
liberia,102259
guyana,99119
sierra leone,98621
kyrgyzstan,92566
montenegro,91355
brunei,88634
north macedonia,88193
kosovo,83296
eswatini,75975
the gambia,75452
suriname,75315
mauritania,75092
bhutan,74978
laos,73794
belize,70467
congo (drc,68464
lesotho,65373
curacao,63966
new caledonia,61124
guam,60353
cape verde,59096
chad,57544
cayman islands,54288
french polynesia,52655
bermuda,52450
burundi,50220
reunion,48359
aruba,48078
andorra,45444
south sudan,45183
st. lucia,44991
djibouti,43687
monaco,43446
isle of man,37982
"virgin islands, u.s.",36709
tajikistan,35852
niger,34565
antigua and barbuda,34208
grenada,31784
